project_id,project_url,pull_request_id,pullreq_id,user_id,comment_id,position,body,commit_id,created_at,dialogue_act_classification_ml,pr_comments_cnt,pr_review_comments_cnt,pr_commits_cnt,pr_additions,pr_deletions,pr_changed_files,pr_merged_by_user_id,comment_author_association,comment_is_by_author,comment_updated_at,comment_html_url,pr_commits_cnt_prior_to_comment,commit_file_status,commit_file_additions,commit_file_deletions,commit_file_changes
10505039,https://api.github.com/repos/OpenClinica/OpenClinica,4723215,56,1034239,18054141,19,Remove underscores,157932086,2014-09-25 17:29:41 UTC,Statement,0,3,3,105,33,4,Not Available,CONTRIBUTOR,False,2014-09-28T23:40:22Z,https://github.com/OpenClinica/OpenClinica/pull/56#discussion_r18054141,1,added,64,0,64
10505039,https://api.github.com/repos/OpenClinica/OpenClinica,21002082,738,4386270,104763417,1,"line 163 has the words ""Study Event"" hardcoded as well.  This should use the property file.",611198266,2017-03-07 19:56:20 UTC,Clarify,4,16,3,457,425,23,Not Available,CONTRIBUTOR,False,2017-03-13T17:25:07Z,https://github.com/OpenClinica/OpenClinica/pull/738#discussion_r104763417,1,modified,8,8,16
30940386,https://api.github.com/repos/eclipse/rdf4j,21327610,758,20394,106820873,551,Use try-with-resources for this GraphQueryResult,630425039,2017-03-19 22:27:29 UTC,Statement,11,66,35,2048,406,27,881923,CONTRIBUTOR,False,2017-07-26T18:43:16Z,https://github.com/eclipse/rdf4j/pull/758#discussion_r106820873,8,added,914,0,914
30940386,https://api.github.com/repos/eclipse/rdf4j,18242744,631,20394,85229672,47,"I am not familiar enough with the semantics of isHeldByCurrentThread to know whether this will work. Ie, will it return false if a lock is held but by another thread? Obtaining an exclusive lock implies to me that there should be no lock held.",542598271,2016-10-26 21:59:07 UTC,nAnswer,5,7,3,12,27,2,Not Available,CONTRIBUTOR,False,2016-10-26T22:44:40Z,https://github.com/eclipse/rdf4j/pull/631#discussion_r85229672,0,modified,5,10,15
30940386,https://api.github.com/repos/eclipse/rdf4j,17059653,571,648104,78863056,342,This should probably be private or at least protected,512635283,2016-09-14 23:24:45 UTC,Clarify,6,19,4,64,41,1,728776,CONTRIBUTOR,False,2016-09-16T07:46:12Z,https://github.com/eclipse/rdf4j/pull/571#discussion_r78863056,1,modified,22,16,38
30940386,https://api.github.com/repos/eclipse/rdf4j,17445585,584,7714043,89170725,31,Convenience constructor for common use case.,555522662,2016-11-22 17:42:03 UTC,Reject,29,23,30,1527,146,33,728776,NONE,True,2016-12-14T22:22:42Z,https://github.com/eclipse/rdf4j/pull/584#discussion_r89170725,22,modified,4,2,6
30940386,https://api.github.com/repos/eclipse/rdf4j,19125291,666,648104,89428839,2,wrong copyright header.,562550988,2016-11-24 02:49:02 UTC,Reject,0,11,5,201,33,6,728776,CONTRIBUTOR,False,2016-11-24T22:00:41Z,https://github.com/eclipse/rdf4j/pull/666#discussion_r89428839,1,added,101,0,101
30940386,https://api.github.com/repos/eclipse/rdf4j,18615733,642,20394,95276924,173,"This should call ```this(data, schema, DEFAULT_USE_RDFS_RULES)```, with a new constant, rather than relying on the initialiser to set it to true, given the constructors set it up in most cases.",593645145,2017-01-10 00:15:32 UTC,Clarify,108,106,84,4615,4,39,728776,CONTRIBUTOR,False,2017-01-31T07:55:29Z,https://github.com/eclipse/rdf4j/pull/642#discussion_r95276924,48,modified,19,15,34
30940386,https://api.github.com/repos/eclipse/rdf4j,18242744,631,648104,85235292,43,I synchronized this to bring it in line with the same method in NativeSailStore. You're right though that we should probably look at the calling public methods. I'll have a closer look and adapt where necessary. ,542598271,2016-10-26 22:35:27 UTC,Clarify,5,7,3,12,27,2,Not Available,CONTRIBUTOR,True,2016-10-26T22:44:40Z,https://github.com/eclipse/rdf4j/pull/631#discussion_r85235292,0,modified,5,10,15
30940386,https://api.github.com/repos/eclipse/rdf4j,19414748,687,20394,91011251,79,"The dependentClient stuff can't be helped though, that is how we know if we should be closing it ourselves or leaving it open when it goes out of scope.",570282623,2016-12-06 04:43:32 UTC,Clarify,5,28,4,1033,520,29,728776,CONTRIBUTOR,True,2016-12-21T02:19:18Z,https://github.com/eclipse/rdf4j/pull/687#discussion_r91011251,Not Available,Not Available,Not Available,Not Available,Not Available
